"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"A2M",81.5284875017365,63.1002954927513,135.668555259095,53.0641285408123,81.8096068316981,86.0330227003507,98.0662724366789,125.192983364982,117.289362497503,89.0112148736122
"A2M-AS1",85.8194605281437,112.71762186312,94.7526417682566,175.977977303714,45.5099799593553,67.213298984649,118.429760702219,43.7096191920843,45.5232685492591,50.1699574742178
"A2MP1",111.028927058286,54.4711952544263,26.9183641387093,180.851213598279,131.653870596706,94.6363249703858,50.9087206638497,124.113733508388,140.318780704775,61.4986575490411
"AAAS",58.4645074847979,118.650128276968,34.993873380322,143.489735339952,47.6771218621817,96.2494441460174,55.195770825016,37.2341200525163,65.339279564819,67.4327385406153
"AACS",116.929014969596,178.514511180348,80.7550924161278,93.1329602961195,87.2274615887642,57.5345839308596,116.822116891781,76.6267398182219,66.9459831606752,97.6426054068109
"AAGAB",63.291852139506,37.7523135426717,124.901209603611,122.372378063506,64.4724716090866,119.908525388614,162.372024854173,129.509982791361,93.7243764249452,48.0121098409181
"AAK1",84.210345643241,120.268084571654,72.1412158917408,46.0250094486637,108.357095141322,119.908525388614,66.9851587682233,112.241985085846,119.431633958645,89.0112148736122
"AAMDC",126.047332650711,152.087891700477,120.055904058643,194.38798108318,115.942091801215,160.77421117128,138.793248967759,90.1173630256554,155.314680932766,70.1300480822399
"AAMP",56.8553925998952,124.582634690817,79.6783578505794,202.51004157412,124.068873936814,182.820173238245,181.663750579422,27.5208713431642,147.816730818771,73.9062814405143
"AAR2",107.27432566018,161.795629468593,46.8379536013541,41.6932438534954,49.3024782893015,163.462743130666,153.262043261695,99.8306117350075,119.96720182393,36.1439478577698
"AARS",150.720427552552,130.515141104665,64.065706650128,111.542964075585,102.939240384256,105.928159199807,128.611504834989,99.2909868067101,66.9459831606752,97.6426054068109
"AARS2",111.028927058286,59.3250641384841,76.9865214367085,68.7667788232975,196.126342205793,76.3543076465613,35.9040450997677,52.3436180448418,73.9083654093854,81.9982100653882
"AASDH",44.5188451489745,133.211734929142,60.8355029534829,116.957671069545,85.6021051616444,65.6001798090174,55.7316520951618,116.558984512225,94.7955121555161,91.1690625069119
"AASDHPPT",89.0376902979491,67.9541643768091,74.2946850228375,64.4350132281292,112.149593471268,136.03971714493,62.1622273369112,35.6152452676243,72.8372296788146,127.313010364682
"AASS",94.937778209259,54.4711952544263,55.4518301257411,111.001493376189,70.4321118418593,24.1967876344736,34.8322825594761,146.777980496876,176.737395544182,49.0910336575679
"AATF",83.6739740149401,26.9659382447655,92.0608053543856,146.197088836932,83.9767487345246,101.626508064789,93.7792222755126,87.4192383841687,91.0465370985182,106.27399594001
"ABAT",187.730069905314,121.346722101445,69.9877467606441,141.323852542367,66.0978280362064,19.3574301075789,57.3392959055992,64.2153664673832,102.293462269512,86.3139053319876
"ABCA1",107.27432566018,83.0550897938778,43.0693826219348,88.2597240015551,88.3110325401775,138.728249104316,88.4204095740548,68.5323658937619,75.5150690052416,107.892381664984
"ABCA11P",121.756359624304,79.2798584396106,118.440802210321,88.8011947009511,122.443517509694,160.236504779403,25.7223009669978,87.4192383841687,139.78321283949,49.6304955658928
"ABCA5",89.57406192625,39.909588602253,100.136314595998,107.211198480417,122.443517509694,178.518522103228,45.5499079623918,131.66848250455,77.1217726010978,93.8663720485365
"ABCA7",52.0280479451871,76.583264615134,106.596721989289,151.070325131496,151.699933197851,46.2427497014385,111.999185460469,83.10223895779,98.0089193472285,107.892381664984
"ABCB1",127.656447535614,117.032171982282,121.671005906966,145.655618137536,113.233164422682,90.3346738353683,59.4828209861823,125.192983364982,88.3686977720912,33.9861002244701
"ABCB10",28.4276962999476,95.9987401513652,88.8306016577405,28.1564763685943,87.2274615887642,95.7117377541402,35.9040450997677,75.0078650333299,117.824930362788,99.2609911317857
"ABCB6",124.438217765808,84.6730460885637,79.6783578505794,93.1329602961195,62.8471151819668,95.174031362263,113.070948000761,76.0871148899246,139.78321283949,123.536777006407
"ABCB7",119.074501482799,113.256940628015,123.286107755288,25.9905935710101,85.0603196859378,60.7608222821227,66.4492774980775,30.7586209129482,69.6238224871022,125.155162731382
"ABCB8",109.419812173383,52.8532389597404,50.0681572979992,43.8591266510795,120.276375606867,51.6198136202104,77.1669029009933,73.3889902484379,92.117672829089,104.655610215035
"ABCC1",85.8194605281437,98.1560152109464,112.518762099805,132.660321352031,96.9796001514832,143.029900239333,87.3486470337632,39.3926197657056,86.761994176235,155.904491505903
"ABCC10",55.7826493432934,154.784485524954,107.673456554837,82.3035463081986,125.694230363934,90.8723802272455,111.999185460469,138.683606572416,70.694958217673,88.4717529652873
"ABCC2",139.456623358233,31.8198071288233,31.7636696836769,133.201792051427,172.829566750409,126.898708483017,117.357998161927,90.6569879539527,138.176509243634,183.956510738798
"ABCC4",45.5915884055763,91.1448712673074,73.7563177400634,82.8450170075947,81.8096068316981,123.134763739877,123.252692133531,44.788869048679,175.666259813612,66.8932766322904
"ABCC5",90.6468051828518,90.0662337375168,53.2983609946443,72.5570737190698,160.910286284863,82.2690779572104,103.960966408283,88.4984882407634,96.9377836166577,141.33901998113
"ABCC9",33.7914125829566,53.931876489531,81.8318269816761,44.9420680498716,80.1842504045783,96.7871505378946,51.9804832041413,117.63823436882,90.5109692332328,89.0112148736122
