"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"A2M",55.9487509441352,82.930200414651,139.867964641379,84.2318059299191,27.2005222500272,84.9617672047578,196.607122795192,112.154773587551,167.177486765116,111.185234600845
"A2M-AS1",83.9231264162028,0,55.9471858565514,84.2318059299191,81.6015667500816,113.28235627301,112.346927311538,84.1160801906631,55.7258289217052,138.981543251056
"A2MP1",83.9231264162028,138.217000691085,587.44545149379,140.386343216532,190.40365575019,226.564712546021,168.520390967307,112.154773587551,167.177486765116,55.5926173004225
"AAAS",55.9487509441352,55.286800276434,0,28.0772686433064,163.203133500163,28.3205890682526,112.346927311538,84.1160801906631,139.314572304263,111.185234600845
"AACS",83.9231264162028,110.573600552868,139.867964641379,84.2318059299191,54.4010445000544,84.9617672047578,112.346927311538,84.1160801906631,0,55.5926173004225
"AAGAB",139.871877360338,82.930200414651,111.894371713103,28.0772686433064,272.005222500272,84.9617672047578,168.520390967307,168.232160381326,111.45165784341,27.7963086502113
"AAK1",83.9231264162028,82.930200414651,0,84.2318059299191,81.6015667500816,28.3205890682526,280.867318278845,112.154773587551,111.45165784341,27.7963086502113
"AAMDC",0,27.643400138217,83.9207787848271,28.0772686433064,0,28.3205890682526,84.2601954836535,56.0773867937754,27.8629144608526,222.37046920169
"AAMP",55.9487509441352,0,83.9207787848271,56.1545372866128,0,0,112.346927311538,112.154773587551,222.903315686821,111.185234600845
"AAR2",83.9231264162028,27.643400138217,111.894371713103,168.463611859838,27.2005222500272,84.9617672047578,28.0867318278845,112.154773587551,83.5887433825578,55.5926173004225
"AARS",195.820628304473,55.286800276434,27.9735929282757,28.0772686433064,0,113.28235627301,56.173463655769,168.232160381326,55.7258289217052,250.166777851901
"AARS2",27.9743754720676,27.643400138217,27.9735929282757,84.2318059299191,108.802089000109,28.3205890682526,28.0867318278845,140.193466984439,83.5887433825578,111.185234600845
"AASDH",83.9231264162028,27.643400138217,55.9471858565514,84.2318059299191,81.6015667500816,84.9617672047578,84.2601954836535,112.154773587551,55.7258289217052,250.166777851901
"AASDHPPT",27.9743754720676,55.286800276434,195.81515049793,140.386343216532,0,84.9617672047578,84.2601954836535,56.0773867937754,27.8629144608526,55.5926173004225
"AASS",27.9743754720676,55.286800276434,55.9471858565514,252.695417789757,54.4010445000544,56.6411781365052,0,0,0,27.7963086502113
"AATF",27.9743754720676,165.860400829302,83.9207787848271,56.1545372866128,163.203133500163,0,84.2601954836535,0,83.5887433825578,55.5926173004225
"ABAT",167.846252832406,82.930200414651,0,140.386343216532,27.2005222500272,56.6411781365052,112.346927311538,56.0773867937754,83.5887433825578,0
"ABCA1",55.9487509441352,110.573600552868,27.9735929282757,56.1545372866128,136.002611250136,28.3205890682526,28.0867318278845,84.1160801906631,139.314572304263,27.7963086502113
"ABCA11P",279.743754720676,165.860400829302,83.9207787848271,56.1545372866128,0,113.28235627301,0,112.154773587551,27.8629144608526,194.574160551479
"ABCA5",27.9743754720676,165.860400829302,0,0,54.4010445000544,84.9617672047578,28.0867318278845,224.309547175102,278.629144608526,166.777851901267
"ABCA7",55.9487509441352,55.286800276434,27.9735929282757,28.0772686433064,27.2005222500272,113.28235627301,56.173463655769,308.425627365765,27.8629144608526,55.5926173004225
